club_id,franchise_id,club_name,club_slug,country,market_name,valid_from,valid_to,pilot_tier
ANA,ANA,Anaheim Ducks,anaheim-ducks,US,Anaheim-Santa Ana-Irvine CA,1993-01-01,,
BOS,BOS,Boston Bruins,boston-bruins,US,Boston-Cambridge-Newton MA-NH,1924-01-01,,
BUF,BUF,Buffalo Sabres,buffalo-sabres,US,Buffalo-Cheektowaga NY,1970-01-01,,
CGY,CGY,Calgary Flames,calgary-flames,CA,Calgary AB,1980-01-01,,
CAR,HFD,Carolina Hurricanes,carolina-hurricanes,US,Raleigh-Cary NC,1997-01-01,,pilot-small-us
CHI,CHI,Chicago Blackhawks,chicago-blackhawks,US,Chicago-Naperville-Elgin IL-IN-WI,1926-01-01,,
COL,QUE,Colorado Avalanche,colorado-avalanche,US,Denver-Aurora-Lakewood CO,1995-01-01,,
CBJ,CBJ,Columbus Blue Jackets,columbus-blue-jackets,US,Columbus OH,2000-01-01,,
DAL,MNS,Dallas Stars,dallas-stars,US,Dallas-Fort Worth-Arlington TX,1993-01-01,,
DET,DET,Detroit Red Wings,detroit-red-wings,US,Detroit-Warren-Dearborn MI,1926-01-01,,
EDM,EDM,Edmonton Oilers,edmonton-oilers,CA,Edmonton AB,1979-01-01,,
FLA,FLA,Florida Panthers,florida-panthers,US,Miami-Fort Lauderdale-West Palm Beach FL,1993-01-01,,
LAK,LAK,Los Angeles Kings,los-angeles-kings,US,Los Angeles-Long Beach-Anaheim CA,1967-01-01,,
MIN,MIN,Minnesota Wild,minnesota-wild,US,Minneapolis-St. Paul-Bloomington MN-WI,2000-01-01,,
MTL,MTL,Montreal Canadiens,montreal-canadiens,CA,Montréal QC,1909-01-01,,
NSH,NSH,Nashville Predators,nashville-predators,US,Nashville-Davidson-Murfreesboro-Franklin TN,1998-01-01,,
NJD,NJD,New Jersey Devils,new-jersey-devils,US,New York-Newark-Jersey City NY-NJ-PA,1982-01-01,,
NYI,NYI,New York Islanders,new-york-islanders,US,New York-Newark-Jersey City NY-NJ-PA,1972-01-01,,
NYR,NYR,New York Rangers,new-york-rangers,US,New York-Newark-Jersey City NY-NJ-PA,1926-01-01,,pilot-large-us
OTT,OTT,Ottawa Senators,ottawa-senators,CA,Ottawa-Gatineau ON-QC,1992-01-01,,
PHI,PHI,Philadelphia Flyers,philadelphia-flyers,US,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,1967-01-01,,
PIT,PIT,Pittsburgh Penguins,pittsburgh-penguins,US,Pittsburgh PA,1967-01-01,,
SJS,SJS,San Jose Sharks,san-jose-sharks,US,San Jose-Sunnyvale-Santa Clara CA,1991-01-01,,
SEA,SEA,Seattle Kraken,seattle-kraken,US,Seattle-Tacoma-Bellevue WA,2021-01-01,,
STL,STL,St. Louis Blues,st-louis-blues,US,St. Louis MO-IL,1967-01-01,,
TBL,TBL,Tampa Bay Lightning,tampa-bay-lightning,US,Tampa-St. Petersburg-Clearwater FL,1992-01-01,,
TOR,TOR,Toronto Maple Leafs,toronto-maple-leafs,CA,Toronto ON,1927-01-01,,pilot-canada
UTA,UTA,Utah Mammoth,utah-mammoth,US,Salt Lake City UT,2024-07-01,,
VAN,VAN,Vancouver Canucks,vancouver-canucks,CA,Vancouver BC,1970-01-01,,
VGK,VGK,Vegas Golden Knights,vegas-golden-knights,US,Las Vegas-Henderson-Paradise NV,2017-01-01,,
WSH,WSH,Washington Capitals,washington-capitals,US,Washington-Arlington-Alexandria DC-VA-MD-WV,1974-01-01,,
WPG,ATL,Winnipeg Jets,winnipeg-jets,CA,Winnipeg MB,2011-01-01,,
