club_id,franchise_id,club_name,club_slug,nhl_abbreviation,country,market_name,valid_from,valid_to,pilot_tier,club_accent,club_logo_url
ANA,ANA,Anaheim Ducks,anaheim-ducks,ANA,US,Anaheim-Santa Ana-Irvine CA,1993-01-01,,,#FC4C02,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
BOS,BOS,Boston Bruins,boston-bruins,BOS,US,Boston-Cambridge-Newton MA-NH,1924-01-01,,,#FFB81C,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
BUF,BUF,Buffalo Sabres,buffalo-sabres,BUF,US,Buffalo-Cheektowaga NY,1970-01-01,,,#003087,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
CGY,CGY,Calgary Flames,calgary-flames,CGY,CA,Calgary AB,1980-01-01,,,#C8102E,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
CAR,HFD,Carolina Hurricanes,carolina-hurricanes,CAR,US,Raleigh-Cary NC,1997-01-01,,pilot-small-us,#CC0000,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
CHI,CHI,Chicago Blackhawks,chicago-blackhawks,CHI,US,Chicago-Naperville-Elgin IL-IN-WI,1926-01-01,,,#CF0A2C,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
COL,QUE,Colorado Avalanche,colorado-avalanche,COL,US,Denver-Aurora-Lakewood CO,1995-01-01,,,#6F263D,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
CBJ,CBJ,Columbus Blue Jackets,columbus-blue-jackets,CBJ,US,Columbus OH,2000-01-01,,,#002654,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
DAL,MNS,Dallas Stars,dallas-stars,DAL,US,Dallas-Fort Worth-Arlington TX,1993-01-01,,,#006847,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
DET,DET,Detroit Red Wings,detroit-red-wings,DET,US,Detroit-Warren-Dearborn MI,1926-01-01,,,#CE1126,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
EDM,EDM,Edmonton Oilers,edmonton-oilers,EDM,CA,Edmonton AB,1979-01-01,,,#FF4C00,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
FLA,FLA,Florida Panthers,florida-panthers,FLA,US,Miami-Fort Lauderdale-West Palm Beach FL,1993-01-01,,,#C8102E,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
LAK,LAK,Los Angeles Kings,los-angeles-kings,LAK,US,Los Angeles-Long Beach-Anaheim CA,1967-01-01,,,#111111,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
MIN,MIN,Minnesota Wild,minnesota-wild,MIN,US,Minneapolis-St. Paul-Bloomington MN-WI,2000-01-01,,,#154734,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
MTL,MTL,Montreal Canadiens,montreal-canadiens,MTL,CA,Montréal QC,1909-01-01,,,#AF1E2D,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
NSH,NSH,Nashville Predators,nashville-predators,NSH,US,Nashville-Davidson-Murfreesboro-Franklin TN,1998-01-01,,,#FFB81C,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
