mapping_id,club_id,entity_id,entity_label,wikipedia_article,valid_from,valid_to,status,reason,search_source_url,retrieved_at,search_archive,entity_archive
ANA-current,ANA,Q192751,Anaheim Ducks,Anaheim Ducks,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Anaheim%20Ducks,2026-08-03T02:35:07Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-ana.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/ana-Q192751.json
ARI-2015-2024,ARI,Q206312,Arizona Coyotes,Arizona Coyotes,2015-07-01,2024-06-30,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Arizona%20Coyotes,2026-08-03T21:22:47Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-ari.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/ari-Q206312.json
BOS-current,BOS,Q194121,Boston Bruins,Boston Bruins,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Boston%20Bruins,2026-08-03T02:35:08Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-bos.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/bos-Q194121.json
BUF-current,BUF,Q131206,Buffalo Sabres,Buffalo Sabres,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Buffalo%20Sabres,2026-08-03T02:35:08Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-buf.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/buf-Q131206.json
CAR-current,CAR,Q201857,Carolina Hurricanes,Carolina Hurricanes,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Carolina%20Hurricanes,2026-08-03T02:35:10Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-car.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/car-Q201857.json
CBJ-current,CBJ,Q207507,Columbus Blue Jackets,Columbus Blue Jackets,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Columbus%20Blue%20Jackets,2026-08-03T02:42:00Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-cbj.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/cbj-Q207507.json
CGY-current,CGY,Q194126,Calgary Flames,Calgary Flames,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Calgary%20Flames,2026-08-03T02:35:09Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-cgy.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/cgy-Q194126.json
CHI-current,CHI,Q209636,Chicago Blackhawks,Chicago Blackhawks,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Chicago%20Blackhawks,2026-08-03T02:41:59Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-chi.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/chi-Q209636.json
COL-current,COL,Q206297,Colorado Avalanche,Colorado Avalanche,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Colorado%20Avalanche,2026-08-03T02:41:59Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-col.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/col-Q206297.json
DAL-current,DAL,Q208652,Dallas Stars,Dallas Stars,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Dallas%20Stars,2026-08-03T02:36:04Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-dal.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/dal-Q208652.json
DET-current,DET,Q194116,Detroit Red Wings,Detroit Red Wings,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Detroit%20Red%20Wings,2026-08-03T02:36:04Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-det.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/det-Q194116.json
EDM-current,EDM,Q205973,Edmonton Oilers,Edmonton Oilers,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Edmonton%20Oilers,2026-08-03T02:36:05Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-edm.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/edm-Q205973.json
FLA-current,FLA,Q204623,Florida Panthers,Florida Panthers,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Florida%20Panthers,2026-08-03T02:36:05Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-fla.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/fla-Q204623.json
LAK-current,LAK,Q203008,Los Angeles Kings,Los Angeles Kings,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Los%20Angeles%20Kings,2026-08-03T02:36:06Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-lak.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/lak-Q203008.json
MIN-current,MIN,Q206357,Minnesota Wild,Minnesota Wild,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Minnesota%20Wild,2026-08-03T02:42:00Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-min.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/min-Q206357.json
MTL-current,MTL,Q188143,Montreal Canadiens,Montreal Canadiens,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Montreal%20Canadiens,2026-08-03T02:42:01Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-mtl.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/mtl-Q188143.json
NJD-current,NJD,Q192081,New Jersey Devils,New Jersey Devils,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=New%20Jersey%20Devils,2026-08-03T02:37:00Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-njd.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/njd-Q192081.json
NSH-current,NSH,Q207980,Nashville Predators,Nashville Predators,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Nashville%20Predators,2026-08-03T02:42:01Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-nsh.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/nsh-Q207980.json
NYI-current,NYI,Q194369,New York Islanders,New York Islanders,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=New%20York%20Islanders,2026-08-03T02:37:01Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-nyi.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/nyi-Q194369.json
NYR-current,NYR,Q188984,New York Rangers,New York Rangers,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=New%20York%20Rangers,2026-08-03T02:37:01Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-nyr.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/nyr-Q188984.json
OTT-current,OTT,Q203013,Ottawa Senators,Ottawa Senators,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Ottawa%20Senators,2026-08-03T02:37:02Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-ott.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/ott-Q203013.json
PHI-current,PHI,Q192083,Philadelphia Flyers,Philadelphia Flyers,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Philadelphia%20Flyers,2026-08-03T02:37:02Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-phi.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/phi-Q192083.json
PIT-current,PIT,Q193643,Pittsburgh Penguins,Pittsburgh Penguins,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Pittsburgh%20Penguins,2026-08-03T02:42:02Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-pit.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/pit-Q193643.json
SEA-current,SEA,Q59422166,Seattle Kraken,Seattle Kraken,2021-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=Seattle%20Kraken,2026-08-03T14:13:09Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-sea.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/sea-Q59422166.json
SJS-current,SJS,Q206381,San Jose Sharks,San Jose Sharks,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=San%20Jose%20Sharks,2026-08-03T14:13:09Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-sjs.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/sjs-Q206381.json
STL-current,STL,Q207735,St. Louis Blues,St. Louis Blues,2015-07-01,,confirmed,,https://www.wikidata.org/w/api.php?action=wbsearchentities&format=json&language=en&limit=10&search=St.%20Louis%20Blues,2026-08-03T14:13:10Z,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/search-stl.json,/Users/saaimkhan/Documents/personal-projects/nhl-analytics/moment-to-market-lab/data/raw/wikidata/stl-Q207735.json
