club_id,country,geography_type,geography_id,display_name,valid_from,valid_to
ANA,US,CBSA,31080,Los Angeles-Long Beach-Anaheim CA,2023-01-01,
BOS,US,CBSA,14460,Boston-Cambridge-Newton MA-NH,2023-01-01,
BUF,US,CBSA,15380,Buffalo-Cheektowaga NY,2023-01-01,
CAR,US,CBSA,39580,Raleigh-Cary NC,2023-01-01,
CHI,US,CBSA,16980,Chicago-Naperville-Elgin IL-IN,2023-01-01,
COL,US,CBSA,19740,Denver-Aurora-Centennial CO,2023-01-01,
CBJ,US,CBSA,18140,Columbus OH,2023-01-01,
DAL,US,CBSA,19100,Dallas-Fort Worth-Arlington TX,2023-01-01,
DET,US,CBSA,19820,Detroit-Warren-Dearborn MI,2023-01-01,
FLA,US,CBSA,33100,Miami-Fort Lauderdale-West Palm Beach FL,2023-01-01,
LAK,US,CBSA,31080,Los Angeles-Long Beach-Anaheim CA,2023-01-01,
MIN,US,CBSA,33460,Minneapolis-St. Paul-Bloomington MN-WI,2023-01-01,
NJD,US,CBSA,35620,New York-Newark-Jersey City NY-NJ,2023-01-01,
NSH,US,CBSA,34980,Nashville-Davidson--Murfreesboro--Franklin TN,2023-01-01,
NYI,US,CBSA,35620,New York-Newark-Jersey City NY-NJ,2023-01-01,
NYR,US,CBSA,35620,New York-Newark-Jersey City NY-NJ,2023-01-01,
PHI,US,CBSA,37980,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,2023-01-01,
PIT,US,CBSA,38300,Pittsburgh PA,2023-01-01,
SJS,US,CBSA,41940,San Jose-Sunnyvale-Santa Clara CA,2023-01-01,
SEA,US,CBSA,42660,Seattle-Tacoma-Bellevue WA,2023-01-01,
STL,US,CBSA,41180,St. Louis MO-IL,2023-01-01,
TBL,US,CBSA,45300,Tampa-St. Petersburg-Clearwater FL,2023-01-01,
UTA,US,CBSA,41620,Salt Lake City-Murray UT,2024-01-01,
VGK,US,CBSA,29820,Las Vegas-Henderson-North Las Vegas NV,2023-01-01,
WSH,US,CBSA,47900,Washington-Arlington-Alexandria DC-VA-MD-WV,2023-01-01,
CGY,CA,CMA,825,Calgary AB,2023-01-01,
EDM,CA,CMA,835,Edmonton AB,2023-01-01,
MTL,CA,CMA,462,Montréal QC,2023-01-01,
OTT,CA,CMA,505,Ottawa-Gatineau ON-QC,2023-01-01,
TOR,CA,CMA,535,Toronto ON,2023-01-01,
VAN,CA,CMA,933,Vancouver BC,2023-01-01,
WPG,CA,CMA,602,Winnipeg MB,2023-01-01,
