announcement_id,club_id,moment_type,announcement_time_utc,announcement_title,source_url,source_type,evidence_status,reviewer,reviewed_at,review_basis,player_ids,opponent_id,rule_version
roster-ana-20251002,ANA,official_roster_event,2025-10-02T18:00:49Z,LaCombe Signs Contract Extension with Ducks,https://www.youtube.com/watch?v=N_Z8HsXNO1A,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
roster-bos-20250701,BOS,official_roster_event,2025-07-01T18:28:23Z,Viktor Arvidsson speaks to the media after being acquired by the Bruins.,https://www.youtube.com/watch?v=o638GzB5TEk,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records an acquisition.,,,1.1.0
roster-buf-20240423,BUF,official_roster_event,2024-04-23T15:36:35Z,Lindy Ruff Named Head Coach Of Buffalo Sabres,https://www.youtube.com/watch?v=NbCpk5s878w,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly names the head-coach appointment.,,,1.1.0
roster-cgy-20240308,CGY,official_roster_event,2024-03-08T21:46:29Z,Rooney Re-Signs With Flames,https://www.youtube.com/watch?v=6JYdkTkbjSE,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a signing.,,,1.1.0
roster-car-20250127,CAR,official_roster_event,2025-01-27T14:49:52Z,"All-Access: Rantanen, Hall Join The Canes",https://www.youtube.com/watch?v=JcfccsoHHYU,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official club publication timestamp and title explicitly document the two players joining the club; used as the observable publication trigger rather than an inferred trade time.,,,1.1.0
roster-chi-20260720,CHI,official_roster_event,2026-07-20T18:07:29Z,Connor Bedard 5-YEAR EXTENSION Media Availability,https://www.youtube.com/watch?v=kMaH53hc36Y,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
roster-col-20251001,COL,official_roster_event,2025-10-01T23:08:47Z,Erik Johnson Announces Retirement,https://www.youtube.com/watch?v=fkWt4J8DWxc,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a retirement announcement.,,,1.1.0
roster-cbj-20250308,CBJ,official_roster_event,2025-03-08T00:33:34Z,Blue Jackets Trade for Luke Kunin!,https://www.youtube.com/watch?v=lebxF-aMehQ,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a trade.,,,1.1.0
roster-dal-20241017,DAL,official_roster_event,2024-10-17T18:06:03Z,Jake Oettinger Signs an 8-year Contract Extension with the Dallas Stars,https://www.youtube.com/watch?v=6_N0ZpHrQgk,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
roster-det-20240701,DET,official_roster_event,2024-07-01T02:54:22Z,Patrick Kane signs contract extension with Detroit Red Wings,https://www.youtube.com/watch?v=LM5ScHM1k_U,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
roster-edm-20251006,EDM,official_roster_event,2025-10-06T23:40:07Z,Connor McDavid Contract Extension,https://www.youtube.com/watch?v=cv3VY4t8pGQ,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
roster-fla-20260702,FLA,official_roster_event,2026-07-02T18:57:45Z,Luostarinen Extension Press Conference,https://www.youtube.com/watch?v=OYRnkoMQv7s,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
roster-lak-20260609,LAK,official_roster_event,2026-06-09T18:01:44Z,The LA Kings Hire Peter Laviolette as Head Coach,https://www.youtube.com/watch?v=7bwoNz4qQl0,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title and API publication timestamp; title explicitly names the head-coach hire.,,,1.1.0
roster-min-20250930,MIN,official_roster_event,2025-09-30T17:21:43Z,Kirill Kaprizov Contract Extension Press Conference,https://www.youtube.com/watch?v=IBb9-xxFuMk,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
roster-mtl-20250628,MTL,official_roster_event,2025-06-28T02:33:52Z,Noah Dobson addresses the media after being acquired by the Canadiens,https://www.youtube.com/watch?v=Gy5QEPob2Bc,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records an acquisition.,,,1.1.0
roster-nsh-20260202,NSH,official_roster_event,2026-02-02T19:28:29Z,Nashville Predators General Manager Barry Trotz Announces His Retirement,https://www.youtube.com/watch?v=L_XH5mD65XU,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a retirement announcement.,,,1.1.0
roster-njd-20251009,NJD,official_roster_event,2025-10-09T14:24:49Z,Devils re-sign Luke Hughes,https://www.youtube.com/watch?v=fpbEZTa0_xQ,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title and API publication timestamp; title explicitly records a signing.,,,1.1.0
roster-nyi-20240919,NYI,official_roster_event,2024-09-19T22:00:13Z,Kyle Okposo Announces Retirement,https://www.youtube.com/watch?v=AqK-BvTALtI,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a retirement announcement.,,,1.1.0
roster-nyr-20250508,NYR,official_roster_event,2025-05-08T19:16:12Z,Introducing New York Rangers Head Coach Mike Sullivan,https://www.youtube.com/watch?v=C4ncOiT6aZU,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly names the head-coach appointment.,,,1.1.0
roster-ott-20260306,OTT,official_roster_event,2026-03-06T22:58:15Z,Sens Acquire Foegele Ahead of Deadline,https://www.youtube.com/watch?v=6fLLfe2Ww7s,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title and API publication timestamp; title explicitly records an acquisition.,,,1.1.0
roster-phi-20240318,PHI,official_roster_event,2024-03-18T15:00:45Z,Wayne Simmonds Announces Retirement from NHL,https://www.youtube.com/watch?v=mN7xGaye38o,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a retirement announcement.,,,1.1.0
roster-pit-20260526,PIT,official_roster_event,2026-05-26T19:50:14Z,The Real Story Behind Geno Malkin's Re-Signing,https://www.youtube.com/watch?v=aknFwVDm09o,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title and API publication timestamp; title explicitly records a re-signing.,,,1.1.0
roster-sjs-20260729,SJS,official_roster_event,2026-07-29T15:08:39Z,Macklin Celebrini signs his extension,https://www.youtube.com/watch?v=LrDmNvopBDo,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
roster-sea-20250609,SEA,official_roster_event,2025-06-09T18:30:27Z,Kraken Introduce Head Coach Lane Lambert,https://www.youtube.com/watch?v=3HRoLMS0BEo,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title and API publication timestamp; title explicitly names the head-coach appointment.,,,1.1.0
roster-stl-20260627,STL,official_roster_event,2026-06-27T17:27:23Z,Blues acquire Brandon Carlo,https://www.youtube.com/watch?v=c_Lr4iZr1lc,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Official title and API publication timestamp; title explicitly records an acquisition.,,,1.1.0
roster-tbl-20251204,TBL,official_roster_event,2025-12-04T16:37:41Z,Ryan McDonagh Contract Extension,https://www.youtube.com/watch?v=yNgEysJ4jnU,official_club_youtube,confirmed,codex-manual-review,2026-08-03,Exact official channel title and API publication timestamp; title explicitly records a contract extension.,,,1.1.0
