club_id,official_youtube_handle,official_channel_id,evidence_status,source_url,retrieved_at,notes
ANA,@anaheimducks,UCM7xcVV9BAWEOuiXi0_wqWw,confirmed,https://www.youtube.com/channel/UCM7xcVV9BAWEOuiXi0_wqWw/about,2026-08-03,official_self_description_and_club_domain_link
BOS,@bostonbruinsnhl,UCeNx7hBcFlZ4OXkd-18hJ-g,confirmed,https://www.youtube.com/channel/UCeNx7hBcFlZ4OXkd-18hJ-g/about,2026-08-03,youtube_verified_badge
BUF,@buffalosabres,UCygaJ2FHLv2HkmGua22dDYg,confirmed,https://www.youtube.com/channel/UCygaJ2FHLv2HkmGua22dDYg/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
CGY,@nhlflames,UCFQqBMe3HSg6ltl09MlLHcQ,confirmed,https://www.youtube.com/channel/UCFQqBMe3HSg6ltl09MlLHcQ/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
CAR,@carolinahurricanes,UCsjx7L3gOJJYxmaEMiwxvVQ,confirmed,https://www.youtube.com/channel/UCsjx7L3gOJJYxmaEMiwxvVQ/about,2026-08-03,youtube_verified_badge
CHI,@blackhawks,UC-eEFwGhQy3BGHYKp92KG1A,confirmed,https://www.youtube.com/channel/UC-eEFwGhQy3BGHYKp92KG1A/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
COL,@coloradoavalanche,UCM715eqbBCk1JE4zlAwYLqw,confirmed,https://www.youtube.com/channel/UCM715eqbBCk1JE4zlAwYLqw/about,2026-08-03,youtube_verified_badge
CBJ,@bluejacketsnhl,UCxdPjcb73fJilPpcRxgzi3A,confirmed,https://www.youtube.com/channel/UCxdPjcb73fJilPpcRxgzi3A/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
DAL,@dallasstars,UCxfgTxo6HUmnZkxHWFV5T-A,confirmed,https://www.youtube.com/channel/UCxfgTxo6HUmnZkxHWFV5T-A/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
DET,@officialredwings,UCj_N4nmrUUiYd0_Vn5_as_w,confirmed,https://www.youtube.com/channel/UCj_N4nmrUUiYd0_Vn5_as_w/about,2026-08-03,official_self_description_and_club_domain_link
EDM,@edmontonoilers,UCyfbxrAcT9w7pHvDeYCtc0Q,confirmed,https://www.youtube.com/channel/UCyfbxrAcT9w7pHvDeYCtc0Q/about,2026-08-03,youtube_verified_badge
FLA,@flapanthers,UCSSc4wVk6telelb58RrLYdg,confirmed,https://www.youtube.com/channel/UCSSc4wVk6telelb58RrLYdg/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
LAK,@lakings,UCP1bDIMe-hTC2nJprRJHtRg,confirmed,https://www.youtube.com/channel/UCP1bDIMe-hTC2nJprRJHtRg/about,2026-08-03,youtube_verified_badge
MIN,@mnwild,UCQRr7SxnnndFYuuRUtOIEnA,confirmed,https://www.youtube.com/channel/UCQRr7SxnnndFYuuRUtOIEnA/about,2026-08-03,youtube_verified_badge
MTL,@canadiensmtl,UCy8mtXf-Lxkyl6I6HMAq6-g,confirmed,https://www.youtube.com/channel/UCy8mtXf-Lxkyl6I6HMAq6-g/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
NSH,@nashvillepredatorsnhl,UCnFXrrRYVwI82BrrFvBxg0w,confirmed,https://www.youtube.com/channel/UCnFXrrRYVwI82BrrFvBxg0w/about,2026-08-03,nhl_domain_link
NJD,@njdevils,UCTB0WLJJBDRFxtqPLndvw6g,confirmed,https://www.youtube.com/channel/UCTB0WLJJBDRFxtqPLndvw6g/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
NYI,@ny_islanders,UC33CtnOXm7fyNVGmT_3UcMA,confirmed,https://www.youtube.com/channel/UC33CtnOXm7fyNVGmT_3UcMA/about,2026-08-03,club_identity_and_team_owned_content
NYR,@nyrangers,UCXlX2t7ziIJpZQWZcrHGnow,confirmed,https://www.youtube.com/channel/UCXlX2t7ziIJpZQWZcrHGnow/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
OTT,@ottawasenatorsnhl,UCtgGJaIlIzYE2Ney_P2ps9w,confirmed,https://www.youtube.com/channel/UCtgGJaIlIzYE2Ney_P2ps9w/about,2026-08-03,official_self_description_and_club_domain_link
PHI,@philadelphiaflyers,UCr6jSk2_SLOmjCG-3GeIStw,confirmed,https://www.youtube.com/channel/UCr6jSk2_SLOmjCG-3GeIStw/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
PIT,@penguins,UCykaXC_7OKsseaCnnq1bF-A,confirmed,https://www.youtube.com/channel/UCykaXC_7OKsseaCnnq1bF-A/about,2026-08-03,youtube_verified_badge
SJS,@sanjosesharks,UCxQ6TOrK5RtG1Rt3GI02EJA,confirmed,https://www.youtube.com/channel/UCxQ6TOrK5RtG1Rt3GI02EJA/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
SEA,@seattlekraken,UCxspiBq2xf5pLjz9_NMjoyw,confirmed,https://www.youtube.com/channel/UCxspiBq2xf5pLjz9_NMjoyw/about,2026-08-03,nhl_domain_link
STL,@stlouisblues,UCtN4OcxSgiJhDMPXo5A5Gqg,confirmed,https://www.youtube.com/channel/UCtN4OcxSgiJhDMPXo5A5Gqg/about,2026-08-03,youtube_verified_badge
TBL,@tblightningnhl,UCgC7zVCS9UJg-ziFINnwzyA,confirmed,https://www.youtube.com/channel/UCgC7zVCS9UJg-ziFINnwzyA/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
TOR,@torontomapleleafs,UCMrpTL3zZyNA5S1p9B3FhWg,confirmed,https://www.youtube.com/channel/UCMrpTL3zZyNA5S1p9B3FhWg/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
UTA,@utahmammoth,UCT0uj5F-RnIAqkp0XLSMaqg,confirmed,https://www.youtube.com/channel/UCT0uj5F-RnIAqkp0XLSMaqg/about,2026-08-03,club_identity_and_team_owned_content
VAN,@canucks1970,UCr-FENk9ztCt4cBLbL5pI-w,confirmed,https://www.youtube.com/channel/UCr-FENk9ztCt4cBLbL5pI-w/about,2026-08-03,nhl_domain_link
VGK,@vegasgoldenknights,UCyUzGmp1kAmlkNUzAqW9xJw,confirmed,https://www.youtube.com/channel/UCyUzGmp1kAmlkNUzAqW9xJw/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
WSH,@capitals,UCAX21FrzWy76WBRtOX1LgbA,confirmed,https://www.youtube.com/channel/UCAX21FrzWy76WBRtOX1LgbA/about,2026-08-03,youtube_verified_badge
WPG,@nhljets,UCRaSe1OUiCAsgFJy8tWAPBw,confirmed,https://www.youtube.com/channel/UCRaSe1OUiCAsgFJy8tWAPBw/about,2026-08-03,youtube_verified_badge_and_nhl_domain_link
