club_id,channel_id,verification_basis,verification_source_url,retrieved_at
ANA,UCM7xcVV9BAWEOuiXi0_wqWw,official_self_description_and_club_domain_link,https://www.youtube.com/channel/UCM7xcVV9BAWEOuiXi0_wqWw/about,2026-08-03
BOS,UCeNx7hBcFlZ4OXkd-18hJ-g,youtube_verified_badge,https://www.youtube.com/channel/UCeNx7hBcFlZ4OXkd-18hJ-g/about,2026-08-03
BUF,UCygaJ2FHLv2HkmGua22dDYg,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCygaJ2FHLv2HkmGua22dDYg/about,2026-08-03
CGY,UCFQqBMe3HSg6ltl09MlLHcQ,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCFQqBMe3HSg6ltl09MlLHcQ/about,2026-08-03
CAR,UCsjx7L3gOJJYxmaEMiwxvVQ,youtube_verified_badge,https://www.youtube.com/channel/UCsjx7L3gOJJYxmaEMiwxvVQ/about,2026-08-03
CHI,UC-eEFwGhQy3BGHYKp92KG1A,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UC-eEFwGhQy3BGHYKp92KG1A/about,2026-08-03
COL,UCM715eqbBCk1JE4zlAwYLqw,youtube_verified_badge,https://www.youtube.com/channel/UCM715eqbBCk1JE4zlAwYLqw/about,2026-08-03
CBJ,UCxdPjcb73fJilPpcRxgzi3A,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCxdPjcb73fJilPpcRxgzi3A/about,2026-08-03
DAL,UCxfgTxo6HUmnZkxHWFV5T-A,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCxfgTxo6HUmnZkxHWFV5T-A/about,2026-08-03
DET,UCj_N4nmrUUiYd0_Vn5_as_w,official_self_description_and_club_domain_link,https://www.youtube.com/channel/UCj_N4nmrUUiYd0_Vn5_as_w/about,2026-08-03
EDM,UCyfbxrAcT9w7pHvDeYCtc0Q,youtube_verified_badge,https://www.youtube.com/channel/UCyfbxrAcT9w7pHvDeYCtc0Q/about,2026-08-03
FLA,UCSSc4wVk6telelb58RrLYdg,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCSSc4wVk6telelb58RrLYdg/about,2026-08-03
LAK,UCP1bDIMe-hTC2nJprRJHtRg,youtube_verified_badge,https://www.youtube.com/channel/UCP1bDIMe-hTC2nJprRJHtRg/about,2026-08-03
MIN,UCQRr7SxnnndFYuuRUtOIEnA,youtube_verified_badge,https://www.youtube.com/channel/UCQRr7SxnnndFYuuRUtOIEnA/about,2026-08-03
MTL,UCy8mtXf-Lxkyl6I6HMAq6-g,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCy8mtXf-Lxkyl6I6HMAq6-g/about,2026-08-03
NSH,UCnFXrrRYVwI82BrrFvBxg0w,nhl_domain_link,https://www.youtube.com/channel/UCnFXrrRYVwI82BrrFvBxg0w/about,2026-08-03
NJD,UCTB0WLJJBDRFxtqPLndvw6g,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCTB0WLJJBDRFxtqPLndvw6g/about,2026-08-03
NYI,UC33CtnOXm7fyNVGmT_3UcMA,club_identity_and_team_owned_content,https://www.youtube.com/channel/UC33CtnOXm7fyNVGmT_3UcMA/about,2026-08-03
NYR,UCXlX2t7ziIJpZQWZcrHGnow,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCXlX2t7ziIJpZQWZcrHGnow/about,2026-08-03
OTT,UCtgGJaIlIzYE2Ney_P2ps9w,official_self_description_and_club_domain_link,https://www.youtube.com/channel/UCtgGJaIlIzYE2Ney_P2ps9w/about,2026-08-03
PHI,UCr6jSk2_SLOmjCG-3GeIStw,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCr6jSk2_SLOmjCG-3GeIStw/about,2026-08-03
PIT,UCykaXC_7OKsseaCnnq1bF-A,youtube_verified_badge,https://www.youtube.com/channel/UCykaXC_7OKsseaCnnq1bF-A/about,2026-08-03
SJS,UCxQ6TOrK5RtG1Rt3GI02EJA,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCxQ6TOrK5RtG1Rt3GI02EJA/about,2026-08-03
SEA,UCxspiBq2xf5pLjz9_NMjoyw,nhl_domain_link,https://www.youtube.com/channel/UCxspiBq2xf5pLjz9_NMjoyw/about,2026-08-03
STL,UCtN4OcxSgiJhDMPXo5A5Gqg,youtube_verified_badge,https://www.youtube.com/channel/UCtN4OcxSgiJhDMPXo5A5Gqg/about,2026-08-03
TBL,UCgC7zVCS9UJg-ziFINnwzyA,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCgC7zVCS9UJg-ziFINnwzyA/about,2026-08-03
TOR,UCMrpTL3zZyNA5S1p9B3FhWg,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCMrpTL3zZyNA5S1p9B3FhWg/about,2026-08-03
UTA,UCT0uj5F-RnIAqkp0XLSMaqg,club_identity_and_team_owned_content,https://www.youtube.com/channel/UCT0uj5F-RnIAqkp0XLSMaqg/about,2026-08-03
VAN,UCr-FENk9ztCt4cBLbL5pI-w,nhl_domain_link,https://www.youtube.com/channel/UCr-FENk9ztCt4cBLbL5pI-w/about,2026-08-03
VGK,UCyUzGmp1kAmlkNUzAqW9xJw,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCyUzGmp1kAmlkNUzAqW9xJw/about,2026-08-03
WSH,UCAX21FrzWy76WBRtOX1LgbA,youtube_verified_badge,https://www.youtube.com/channel/UCAX21FrzWy76WBRtOX1LgbA/about,2026-08-03
WPG,UCRaSe1OUiCAsgFJy8tWAPBw,youtube_verified_badge_and_nhl_domain_link,https://www.youtube.com/channel/UCRaSe1OUiCAsgFJy8tWAPBw/about,2026-08-03
