audit_id,club_id,stratum,article_url,title,query,domain,language,source_country,seen_at,retrieved_at,reviewer,is_true_club_match,exclusion_reason,reviewed_at,review_basis
3aa4523e-28dd-5843-acb9-7dcbfebbd26f,ANA,recent_english_exact_full_name,https://bleacherreport.com/articles/25431449-1-trade-or-signing-every-nhl-team-must-make-during-2026-offseason,1 Trade or Signing Every NHL Team Must Make During the 2026 Offseason,"""Anaheim Ducks"" sourcelang:english",bleacherreport.com,English,United States,20260529T173000Z,2026-08-03T15:02:20Z,Codex manual review,true,,2026-08-03,"title, publisher/domain, URL context, and article body where needed"
591134c9-eda0-52e7-93ba-ec8b63790a1a,ANA,recent_english_exact_full_name,https://www.kpbs.org/news/living/2026/06/03/san-diego-gulls-owners-foundation-proposes-massive-new-ice-rink-in-escondido,San Diego Gull owner foundation proposes massive new ice rink in Escondido,"""Anaheim Ducks"" sourcelang:english",kpbs.org,English,United States,20260604T010000Z,2026-08-03T15:02:20Z,Codex manual review,true,,2026-08-03,"title, publisher/domain, URL context, and article body where needed"
8d1ebd2b-253b-5be6-aace-1444bdb5ff33,ANA,recent_english_exact_full_name,https://bleacherreport.com/articles/25447531-nhl-free-agent-tracker-2026-and-updates-all-latest-contract-signings-trades,"NHL Free - Agent Tracker 2026 and Updates on All the Latest Contract Signings , Trades","""Anaheim Ducks"" sourcelang:english",bleacherreport.com,English,United States,20260629T204500Z,2026-08-03T15:02:20Z,Codex manual review,true,,2026-08-03,"title, publisher/domain, URL context, and article body where needed"
57fa3507-ced9-55ae-83d6-40689ad44714,ANA,recent_english_exact_full_name,https://russianmachineneverbreaks.com/2026/06/27/2026-nhl-draft-live-tracker-day-two-picks-trades/,2026 NHL Draft live tracker : Following all of day two picks and trades,"""Anaheim Ducks"" sourcelang:english",russianmachineneverbreaks.com,English,United States,20260627T151500Z,2026-08-03T15:02:20Z,Codex manual review,true,,2026-08-03,"title, publisher/domain, URL context, and article body where needed"
eb12e4fb-fa4f-55ac-a7f7-8e0252713813,ANA,recent_english_exact_full_name,https://russianmachineneverbreaks.com/2026/05/08/john-carlson-anaheim-ducks-exploratory-talks-contract-extension/,John Carlson and Anaheim Ducks have reportedly held  exploratory talk about a contract extension,"""Anaheim Ducks"" sourcelang:english",russianmachineneverbreaks.com,English,United States,20260508T234500Z,2026-08-03T15:02:20Z,Codex manual review,true,,2026-08-03,"title, publisher/domain, URL context, and article body where needed"
0c3ba41f-2aad-50b5-b3b5-529a0fb3add0,BOS,recent_english_exact_full_name,https://www.westernmassnews.com/2026/07/29/bruins-mascot-visits-south-hadley-library-summer-reading-program/,Bruins mascot visits South Hadley library for summer reading program,"""Boston Bruins"" sourcelang:english",westernmassnews.com,English,United States,20260729T223000Z,2026-08-03T15:03:29Z,Codex manual review,true,,2026-08-03,"title, publisher/domain, URL context, and article body where needed"
c50877c5-6062-5eb3-a6ba-d5b48d7c156a,BOS,recent_english_exact_full_name,https://bleacherreport.com/articles/25443233-bs-meter-connor-hellebuyck-bowen-byram-and-latest-nhl-trade-rumors,"BS Meter on Connor Hellebuyck , Bowen Byram and the Latest NHL Trade Rumors","""Boston Bruins"" sourcelang:english",bleacherreport.com,English,United States,20260621T133000Z,2026-08-03T15:03:29Z,Codex manual review,true,,2026-08-03,"title, publisher/domain, URL context, and article body where needed"
23a13df8-0d00-557c-a135-b75cf57b0150,BOS,recent_english_exact_full_name,https://www.tsn.ca/nhl/article/bruins-sign-f-reichel-to-one-year-extension/,Boston Bruins sign forward Lukas Reichel to one - year extension,"""Boston Bruins"" sourcelang:english",tsn.ca,English,Canada,20260514T193000Z,2026-08-03T15:03:29Z,Codex manual review,true,,2026-08-03,"title, publisher/domain, URL context, and article body where needed"
7ca3f994-0b84-5491-98ed-2770175df2b1,BOS,recent_english_exact_full_name,https://www.spotrac.com/nhl/player/_/id/90232/jaxon-nelson,"Jaxon Nelson Contract , Salary & Cap Hit 2026","""Boston Bruins"" sourcelang:english",spotrac.com,English,United States,20260715T073000Z,2026-08-03T15:03:29Z,Codex manual review,true,,2026-08-03,"title, publisher/domain, URL context, and article body where needed"
946935b9-7e07-55c3-8665-816bf9c32e6e,BOS,recent_english_exact_full_name,https://www.vavel.com/en-us/data/boston-bruins/,Boston Bruins | VAVEL united states ,"""Boston Bruins"" sourcelang:english",vavel.com,English,United States,20260531T161500Z,2026-08-03T15:03:29Z,Codex manual review,true,,2026-08-03,"title, publisher/domain, URL context, and article body where needed"
