mapping_id,club_id,entity_id,entity_label,article_date,article_url,source_common_name,source_locations,matched_all_names,source_gkg_record_id,source_archive_timestamp,sample_hash,sample_rank,reviewer,is_true_club_match,exclusion_reason,reviewed_at,review_basis
BOS-current,BOS,Q194121,Boston Bruins,20260404,http://www.pittsburghstar.com/news/278962927/bruins-will-attempt-to-regroup-for-playoff-push-vs-lightning,pittsburghstar.com,"4#Winnipeg, Manitoba, Canada#CA#CA03#12577#49.8833#-97.1667#-576096#2207;2#Florida, United States#US#USFL##27.8333#-81.717#FL#148;2#Florida, United States#US#USFL##27.8333#-81.717#FL#909;2#Florida, United States#US#USFL##27.8333#-81.717#FL#1293;2#Utah, United States#US#USUT##40.1135#-111.854#UT#3238;3#Philadelphia, Pennsylvania, United States#US#USPA#PA101#39.9523#-75.1638#1209052#621;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#170;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#1090;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#1753;4#Ottawa, Ontario, Canada#CA#CA08#12755#45.4167#-75.7#-570760#466;3#Tampa Bay, Florida, United States#US#USFL#FL103#27.765#-82.5825#294169#256;3#Tampa Bay, Florida, United States#US#USFL#FL103#27.765#-82.5825#294169#2499","Sam Navarro-Imagn Images,44;Stanley Cup,140;Florida Panthers,166;Boston Bruins,189;Tampa Bay Lightning,263;Detroit Red Wings,557;Columbus Blue Jackets,583;Philadelphia Flyers,643;Marco Sturm,695;Aleksander Barkov,849;Sam Reinhart,867;Bruin Brad,889;Fraser Minten,984;Morgan Geekie,1566;Bobby Orr,1797;Phil Esposito,1815;Pittsburgh Penguins,2014;Winnipeg Jets,2318;Gage Goncalves,2456;Oliver Bjorkstrand,2479;Tampa Bay,2644;Jon Cooper,2661;Montreal Canadiens,2908;Andrei Vasilevskiy,3336;Karel Vejmelka,3473;Field Level,3500",20260404000000-444,20260404000000,1dab25096d53046a6b8853381191ee316db194436be1ad1eda6adfed03e4640c,1,Codex manual review,true,,2026-08-03,URL subject and GKG AllNames context establish a substantive article-context reference to the registered NHL club
BOS-current,BOS,Q194121,Boston Bruins,20231026,https://www.cbsnews.com/boston/news/jim-montgomery-bruins-head-coach-former-maine-player-condolances-lewiston-shooting-victims-families-nhl/,cbsnews.com,"3#University Of Maine, Maine, United States#US#USME#ME019#44.8992#-68.6692#577565#629;3#University Of Maine, Maine, United States#US#USME#ME019#44.8992#-68.6692#577565#849;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#6;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#467;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#1189;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#1589;2#Maine, United States#US#USME##44.6074#-69.3977#ME#213;2#Maine, United States#US#USME##44.6074#-69.3977#ME#380;2#Maine, United States#US#USME##44.6074#-69.3977#ME#629;2#Maine, United States#US#USME##44.6074#-69.3977#ME#849;2#Maine, United States#US#USME##44.6074#-69.3977#ME#1084;2#Maine, United States#US#USME##44.6074#-69.3977#ME#1521;2#Maine, United States#US#USME##44.6074#-69.3977#ME#1758","Jim Montgomery,102;Boston Bruins,475;Black Bears,914;Boston Bruins Foundation,1202;Anaheim Ducks,1382;New England Patriots,1549;Robert Kraft,1572;Boston Celtics,1604;New England,1794",20231026210000-456,20231026210000,1f402d4442384e65a42d85363f069f444f285c37d0a60c8b9219fc05c95a8bb5,2,Codex manual review,true,,2026-08-03,URL subject and GKG AllNames context establish a substantive article-context reference to the registered NHL club
BOS-current,BOS,Q194121,Boston Bruins,20251030,https://www.yardbarker.com/nhl/articles/islanders_hurricanes_enter_showdown_plagued_by_blown_leads/s1_17050_42984551,yardbarker.com,"3#Dallas, Texas, United States#US#USTX#TX113#32.7831#-96.8067#1380944#2659;2#Colorado, United States#US#USCO##39.0646#-105.327#CO#2242;3#Los Angeles, California, United States#US#USCA#CA037#34.0522#-118.244#1662328#2210;3#Philadelphia, Pennsylvania, United States#US#USPA#PA101#39.9523#-75.1638#1209052#1005;2#New York, United States#US#USNY##42.1497#-74.9384#NY#12;2#New York, United States#US#USNY##42.1497#-74.9384#NY#310;2#New York, United States#US#USNY##42.1497#-74.9384#NY#898;2#New York, United States#US#USNY##42.1497#-74.9384#NY#1193","New York Islander,22;New York,321;Metropolitan Division,403;Boston Bruins,599;Vegas Golden,715;Kyle Palmieri,883;New York,948;New York,1243;Eastern Conference,1602;Ryan Pulock,1738;Hartford Whalers,2148;Los Angeles Kings,2352;Colorado Avalanche,2375;Jaccob Slavin,2576;William Carrier,2626;Eric Robinson,2661;Shayne Gostisbehere,2731;Golden Knights,2810;Logan Stankoven,2962;Golden Knights,3056;Jordan Martinook,3298",20251030000000-581,20251030000000,3887532c6ebd6fdd9c4ae101ac0965897caf017564d593a130cfd8dd637a2cc6,3,Codex manual review,false,"URL subject is unrelated to the target club or the club appears only in incidental, standings, publisher-page, or related-content context",2026-08-03,URL subject and GKG AllNames context do not establish the club as a substantive article subject
BOS-current,BOS,Q194121,Boston Bruins,20231026,https://www.wgmd.com/tim-wakefields-wife-stacy-shares-powerful-message-late-husband-left-for-her/,wgmd.com,,"Stacy Wakefield,16;Boston Red Sox,48;Tim Wakefield,68;Boston Bruins,307;Red Sox,1391;World Series,1484;Red Sox,1586;Pittsburgh Pirate,1649;Tim Wakefield,1920;Red Sox,1938;Red Sox Nation,2178",20231026120000-1638,20231026120000,3eacbfbe9414ff21ec2cd03a9ec638d65a1a607c0e1521f73ffcc361b5eac7f7,4,Codex manual review,false,"URL subject is unrelated to the target club or the club appears only in incidental, standings, publisher-page, or related-content context",2026-08-03,URL subject and GKG AllNames context do not establish the club as a substantive article subject
BOS-current,BOS,Q194121,Boston Bruins,20241127,https://www.burnabynow.com/highlights/canucks-lines-vs-bruins-november-26-2024-9865845,burnabynow.com,"4#Calgary, Alberta, Canada#CA#CA01#12549#51.0833#-114.083#-561990#287;4#Ottawa, Ontario, Canada#CA#CA08#12755#45.4167#-75.7#-570760#1873","Vancouver Canucks,38;Boston Bruins,80;Brock Boeser,101;Calgary Flames,302;Nikita Zadorov,329;Elias Lindholm,348;Jake DeBrusk,1595;Elias Pettersson,2111;Kiefer Sherwood,2131;Brock Boeser,2877;Pius Suter,3144;Dakota Joshua,3166;Danton Heinen,3264;Teddy Blueger,3282;Max Sasson,3426;Carson Soucy,3873;Tyler Myers,3889;Quinn Hughes,3996;Tyler Myers,4207;Carson Soucy,4231;Noah Juulsen,4276;Vincent Desharnais,4307;Kevin Lankinen,4384;Jim Montgomery,4885;Jack Adams Award,4919;Joe Sacco,5096;David Pastrnak,5642;Jeremy Swayman,5846",20241127000000-290,20241127000000,49c9093cae5122a5ab9c2900a58adfe619cf7115b5d6876ce7e352889fad9306,5,Codex manual review,true,,2026-08-03,URL subject and GKG AllNames context establish a substantive article-context reference to the registered NHL club
BOS-current,BOS,Q194121,Boston Bruins,20260116,https://www.wmur.com/article/bruins-retire-zdeno-chara-number-01152026/70014641,wmur.com,"3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#6;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#205;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#288;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#530;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#1003;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#1214;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#1376;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#1797;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#2153;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#2317;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#2721","Boston Bruins,14;Boston Bruins,950;Seattle Kraken,1029;Stanley Cup,1180;Hockey Hall,1224;Raymond Bourque,1420;Boston Bruins,1930;Seattle Kraken,2009;Stanley Cup,2162;Hockey Hall,2240;Raymond Bourque,2385",20260116030000-281,20260116030000,5085f1f386272c4a2ef90d72c93d95ba61524b9f67cb3c62b8c0ed84b5d473a5,6,Codex manual review,true,,2026-08-03,URL subject and GKG AllNames context establish a substantive article-context reference to the registered NHL club
BOS-current,BOS,Q194121,Boston Bruins,20231026,https://www.jacksonprogress-argus.com/fieldlevel/winless-sharks-in-rough-road-test-vs-lightning/article_c2cb6b5e-5647-5b38-b220-565ba4337c6c.html,jacksonprogress-argus.com,"2#Colorado, United States#US#USCO##39.0646#-105.327#CO#440;4#Toronto, Ontario, Canada#CA#CA08#12686#43.6667#-79.4167#-574890#2000;2#Florida, United States#US#USFL##27.8333#-81.717#FL#577;3#Tampa, Florida, United States#US#USFL#FL057#27.9475#-82.4584#292005#42;3#Tampa, Florida, United States#US#USFL#FL057#27.9475#-82.4584#292005#241","San Jose Sharks,20;San Jose,128;Sunshine State,196;Tampa Bay Lightning,246;Vegas Golden Knights,391;Colorado Avalanche,415;Boston Bruins,433;David Quinn,456;Eastern Conference,531;Aleksander Barkov,807;Mackenzie Blackwood,973;Stanley Cup Final,1076;San Jose,1588;Pacific Division,1664;Western Conference,1772;Filip Zadina,1819;Carolina Hurricanes,1998;Toronto Maple Leafs,2086;Jon Cooper,2178;Brayden Point,2203;Alex Barre-Boulet,2274;Jonas Johansson,2340;Tommy Novak,2789",20231026000000-1811,20231026000000,54ed16b34cd5a4810d6abf5e80af44fca4f033ada1d84d2d2e6d0fab72f44e98,7,Codex manual review,false,"URL subject is unrelated to the target club or the club appears only in incidental, standings, publisher-page, or related-content context",2026-08-03,URL subject and GKG AllNames context do not establish the club as a substantive article subject
BOS-current,BOS,Q194121,Boston Bruins,20241127,https://www.saltlakecitysun.com/news/274796848/canucks-look-to-extend-road-winning-streak-in-clash-vs-penguins,saltlakecitysun.com,"4#Winnipeg, Manitoba, Canada#CA#CA03#12577#49.8833#-97.1667#-576096#1835;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#225;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#542;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#888;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#1204;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#1493;4#Vancouver, British Columbia, Canada#CA#CA02#12552#49.25#-123.133#-575268#59;4#Vancouver, British Columbia, Canada#CA#CA02#12552#49.25#-123.133#-575268#381","Winslow Townson-Imagn Images,48;Vancouver Canucks,74;Pittsburgh Penguins,161;Boston Bruins,239;Rick Tocchet,469;Kevin Lankinen,677;Arturs Silovs,963;Unlike Lankinen,994;Jake DeBrusk,1476;Utah Hockey Club,1819;Montreal Canadiens,2000;Eastern Conference,2026;Alex Nedeljkovic,2338;Philip Tomasino,2698;Nashville Predators,2765;Evgeni Malkin,3002;Field Level,3310",20241127180000-826,20241127180000,6d1cb01d5374e1e3691aed7c3d8d24a8af70953f9b01bbd95266d7485ff0a4e1,8,Codex manual review,false,"URL subject is unrelated to the target club or the club appears only in incidental, standings, publisher-page, or related-content context",2026-08-03,URL subject and GKG AllNames context do not establish the club as a substantive article subject
BOS-current,BOS,Q194121,Boston Bruins,20260116,http://www.massachusettssun.com/news/278812619/red-wings-continue-line-alterations-as-surging-sharks-arrive,massachusettssun.com,"3#Washington, Washington, United States#US#USDC#DC001#38.8951#-77.0364#531871#1905","Rick Osentoski-Imagn Images,47;Todd McLellan,71;Red Wing,108;San Jose Sharks,206;Red Wings,1042;Boston Bruins,1088;Emmitt Finnie,1787;Washington Capitals,2099;Pavol Regenda,2229;San Jose,2346;Ryan Warsofsky,2367;Red Wings,2928;San Jose,2976;Field Level,3057",20260116150000-1290,20260116150000,738b9ecd3035b319d9efc40c8a41f6a527fe9b52d211ae26944ad0e358346076,9,Codex manual review,false,"URL subject is unrelated to the target club or the club appears only in incidental, standings, publisher-page, or related-content context",2026-08-03,URL subject and GKG AllNames context do not establish the club as a substantive article subject
BOS-current,BOS,Q194121,Boston Bruins,20241026,https://www.defendingbigd.com/dallas-stars-afterwords-breat-of-fresh-air-boston-bruins-win-power-play/,defendingbigd.com,"3#Dallas, Texas, United States#US#USTX#TX113#32.7831#-96.8067#1380944#133;3#Dallas, Texas, United States#US#USTX#TX113#32.7831#-96.8067#1380944#1265;3#Dallas, Texas, United States#US#USTX#TX113#32.7831#-96.8067#1380944#1443;3#Dallas, Texas, United States#US#USTX#TX113#32.7831#-96.8067#1380944#1721;3#Dallas, Texas, United States#US#USTX#TX113#32.7831#-96.8067#1380944#1850;3#Dallas, Texas, United States#US#USTX#TX113#32.7831#-96.8067#1380944#6250;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#47;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#631;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#4440;3#Boston, Massachusetts, United States#US#USMA#MA025#42.3584#-71.0598#617565#5122","Boston Bruins,56;Dallas Stars,130;Tyler Seguin,697;Matt Dumba,1957;Matt Duchene,2219;Matt Duchene,2503;Jason Robertson,2681;Tyler Seguin,2699;Jeremy Swayman,3738;Logan Stankoven,4154;Mason Marchment,4818;Enter Seguin,4946;Thomas Harley,5192;Casey DeSmith,5762;Radek Faksa,6444;Ryan Suter,6782;Matt Dumba,6836;Victory Green,7096;Ilya Lyubushkin,7188;Nils Lundkvist,7250",20241026000000-197,20241026000000,779b01bf1ac69f2a6692f5c539ca5286dd8dd1aff96846228814b54d3de626fa,10,Codex manual review,true,,2026-08-03,URL subject and GKG AllNames context establish a substantive article-context reference to the registered NHL club
